"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"South-East Asia"," 2008","58.89 [56.79-61.3]","57.58 [55.56-59.9]","60.21 [57.98-62.76]","2 265 504 [2 184 845-2 357 947]","1 151 049 [1 109 816-1 196 388]","1 114 455 [1 072 302-1 160 814]"
"South-East Asia"," 2007","61.04 [58.89-63.49]","59.64 [57.53-61.97]","62.48 [60.17-65.07]","2 364 092 [2 280 874-2 458 473]","1 199 879 [1 156 726-1 245 822]","1 164 213 [1 120 568-1 211 652]"
"South-East Asia"," 2006","64.1 [61.88-66.55]","62.72 [60.55-65.13]","65.5 [63.12-68.09]","2 503 120 [2 416 347-2 598 502]","1 272 510 [1 227 592-1 320 464]","1 230 610 [1 185 109-1 278 229]"
"South-East Asia"," 2005","67.23 [64.95-69.69]","65.59 [63.38-67.98]","68.87 [66.45-71.52]","2 652 179 [2 562 330-2 749 245]","1 345 151 [1 298 567-1 392 627]","1 307 028 [1 260 032-1 355 798]"
"South-East Asia"," 2004","71.24 [68.96-73.74]","69.67 [67.41-72.12]","72.81 [70.38-75.48]","2 832 473 [2 742 465-2 931 365]","1 440 324 [1 392 739-1 489 559]","1 392 149 [1 344 613-1 441 940]"
"South-East Asia"," 2003","73.64 [71.32-76.13]","71.49 [69.2-73.89]","75.84 [73.38-78.51]","2 943 484 [2 851 435-3 042 925]","1 485 443 [1 436 917-1 533 944]","1 458 041 [1 409 595-1 507 854]"
"South-East Asia"," 2002","76.97 [74.64-79.49]","74.76 [72.44-77.28]","79.2 [76.71-81.9]","3 089 822 [2 996 981-3 190 149]","1 560 867 [1 511 161-1 611 595]","1 528 955 [1 479 799-1 579 350]"
"South-East Asia"," 2001","80.37 [78.01-82.93]","78.24 [75.89-80.78]","82.54 [80-85.31]","3 224 068 [3 130 364-3 325 776]","1 632 652 [1 582 961-1 684 197]","1 591 416 [1 541 509-1 643 140]"
"South-East Asia"," 2000","83.83 [81.43-86.43]","81.7 [79.35-84.24]","85.99 [83.46-88.79]","3 347 814 [3 252 558-3 451 320]","1 696 844 [1 646 753-1 747 735]","1 650 970 [1 601 370-1 703 096]"
"South-East Asia"," 1999","87.32 [84.88-89.99]","85.35 [82.96-87.96]","89.32 [86.73-92.18]","3 483 816 [3 387 436-3 590 046]","1 769 945 [1 719 422-1 822 531]","1 713 871 [1 663 104-1 767 111]"
"South-East Asia"," 1998","90.79 [88.34-93.5]","88.37 [85.94-90.99]","93.27 [90.61-96.16]","3 629 160 [3 531 992-3 736 972]","1 834 840 [1 783 621-1 887 810]","1 794 320 [1 742 208-1 848 511]"
"South-East Asia"," 1997","94.28 [91.78-97.05]","91.88 [89.36-94.6]","96.73 [94.02-99.7]","3 766 827 [3 667 118-3 876 855]","1 905 485 [1 852 229-1 960 013]","1 861 342 [1 808 382-1 917 006]"
"South-East Asia"," 1996","97.82 [95.22-100.62]","95.59 [92.95-98.4]","100.1 [97.3-103.17]","3 901 424 [3 798 290-4 012 218]","1 977 656 [1 922 524-2 034 268]","1 923 768 [1 869 545-1 981 461]"
"South-East Asia"," 1995","101.33 [98.69-104.19]","99.18 [96.45-102.08]","103.55 [100.62-106.64]","4 034 182 [3 929 734-4 147 086]","2 046 193 [1 989 864-2 104 797]","1 987 989 [1 931 588-2 046 605]"
"South-East Asia"," 1994","104.8 [102.07-107.69]","102.84 [100.05-105.83]","106.77 [103.83-109.91]","4 159 352 [4 051 989-4 272 793]","2 112 747 [2 054 730-2 172 845]","2 046 605 [1 989 537-2 105 323]"
"South-East Asia"," 1993","108.22 [105.41-111.1]","106.56 [103.68-109.59]","109.91 [106.86-113.11]","4 285 571 [4 175 336-4 398 181]","2 181 718 [2 122 712-2 242 606]","2 103 853 [2 045 075-2 163 912]"
"South-East Asia"," 1992","111.71 [108.82-114.67]","110.33 [107.34-113.39]","113.11 [109.99-116.4]","4 420 105 [4 306 972-4 536 055]","2 255 435 [2 194 613-2 316 665]","2 164 670 [2 105 010-2 226 433]"
"South-East Asia"," 1991","115.31 [112.36-118.36]","114.12 [111.03-117.27]","116.58 [113.36-119.9]","4 549 933 [4 434 660-4 669 098]","2 324 026 [2 261 461-2 387 687]","2 225 907 [2 164 918-2 288 844]"
"South-East Asia"," 1990","119.12 [116.07-122.28]","117.98 [114.79-121.21]","120.31 [116.99-123.78]","4 690 174 [4 571 616-4 813 645]","2 396 131 [2 331 699-2 460 713]","2 294 043 [2 231 063-2 358 994]"
"Europe"," 2021","7.53 [7.1-8.28]","8.31 [7.83-9.15]","6.71 [6.33-7.37]","78 523 [74 117-86 241]","44 548 [42 011-49 029]","33 975 [32 087-37 307]"
"Europe"," 2020","7.82 [7.41-8.48]","8.63 [8.17-9.38]","6.97 [6.6-7.56]","82 658 [78 338-89 553]","46 889 [44 407-50 911]","35 769 [33 901-38 763]"
"Europe"," 2019","8.08 [7.69-8.67]","8.92 [8.47-9.58]","7.2 [6.85-7.72]","87 193 [83 018-93 412]","49 471 [47 067-53 123]","37 722 [35 939-40 438]"
"Europe"," 2018","8.34 [7.98-8.84]","9.19 [8.78-9.76]","7.44 [7.12-7.89]","92 032 [88 081-97 577]","52 157 [49 891-55 386]","39 875 [38 191-42 289]"
"Europe"," 2017","8.62 [8.29-9.04]","9.5 [9.12-9.99]","7.69 [7.39-8.08]","97 785 [94 085-102 610]","55 429 [53 303-58 295]","42 356 [40 752-44 521]"
"Europe"," 2016","9. [8.69-9.37]","9.92 [9.57-10.34]","8.03 [7.75-8.37]","103 955 [100 403-108 249]","58 951 [56 915-61 489]","45 004 [43 488-46 937]"
"Europe"," 2015","9.45 [9.16-9.79]","10.44 [10.1-10.83]","8.43 [8.16-8.74]","109 106 [105 695-112 980]","61 948 [60 010-64 314]","47 158 [45 692-48 929]"
"Europe"," 2014","9.89 [9.59-10.21]","10.92 [10.58-11.29]","8.81 [8.54-9.11]","113 506 [110 118-117 129]","64 457 [62 503-66 660]","49 049 [47 579-50 719]"
"Europe"," 2013","10.33 [10.01-10.66]","11.4 [11.03-11.78]","9.2 [8.91-9.51]","117 785 [114 219-121 502]","66 857 [64 786-69 108]","50 928 [49 388-52 625]"
"Europe"," 2012","10.71 [10.37-11.06]","11.81 [11.41-12.22]","9.55 [9.25-9.88]","122 173 [118 318-126 215]","69 294 [67 038-71 725]","52 879 [51 232-54 734]"
"Europe"," 2011","11.18 [10.8-11.58]","12.34 [11.9-12.8]","9.96 [9.62-10.32]","126 947 [122 652-131 432]","72 050 [69 549-74 771]","54 897 [53 067-56 917]"
"Europe"," 2010","11.67 [11.25-12.12]","12.89 [12.41-13.41]","10.4 [10.02-10.81]","132 630 [127 845-137 651]","75 299 [72 536-78 330]","57 331 [55 305-59 608]"
"Europe"," 2009","12.29 [11.82-12.79]","13.58 [13.06-14.16]","10.94 [10.53-11.4]","138 130 [132 937-143 708]","78 434 [75 494-81 788]","59 696 [57 492-62 222]"
"Europe"," 2008","12.92 [12.42-13.47]","14.27 [13.7-14.91]","11.5 [11.06-12.02]","142 568 [137 157-148 608]","80 935 [77 790-84 555]","61 633 [59 320-64 399]"
"Europe"," 2007","13.69 [13.16-14.3]","15.12 [14.53-15.82]","12.19 [11.72-12.74]","146 919 [141 306-153 342]","83 393 [80 187-87 210]","63 526 [61 125-66 393]"
"Europe"," 2006","14.5 [13.96-15.15]","16.01 [15.39-16.74]","12.92 [12.43-13.51]","152 619 [146 939-159 335]","86 588 [83 339-90 537]","66 031 [63 571-69 022]"
"Europe"," 2005","15.4 [14.84-16.08]","17. [16.37-17.76]","13.72 [13.22-14.33]","160 066 [154 330-167 101]","90 839 [87 545-94 956]","69 227 [66 721-72 351]"
"Europe"," 2004","16.34 [15.77-17.03]","18.01 [17.38-18.79]","14.58 [14.06-15.21]","168 541 [162 715-175 699]","95 539 [92 216-99 708]","73 002 [70 436-76 213]"
"Europe"," 2003","17.41 [16.83-18.11]","19.17 [18.53-19.96]","15.55 [15.03-16.2]","178 318 [172 425-185 599]","100 960 [97 608-105 238]","77 358 [74 775-80 634]"
"Europe"," 2002","18.67 [18.07-19.41]","20.55 [19.88-21.37]","16.7 [16.15-17.38]","191 071 [184 952-198 598]","108 090 [104 625-112 470]","82 981 [80 256-86 393]"
"Europe"," 2001","19.96 [19.35-20.71]","21.95 [21.27-22.78]","17.87 [17.3-18.56]","204 729 [198 517-212 405]","115 781 [112 256-120 225]","88 948 [86 162-92 446]"
"Europe"," 2000","21.14 [20.52-21.89]","23.2 [22.51-24.04]","18.98 [18.39-19.69]","219 022 [212 540-226 817]","123 604 [119 979-128 129]","95 418 [92 484-99 058]"
"Europe"," 1999","22.61 [21.96-23.39]","24.77 [24.04-25.62]","20.35 [19.73-21.09]","236 313 [229 556-244 419]","133 101 [129 231-137 772]","103 212 [100 122-107 005]"
"Europe"," 1998","24.04 [23.36-24.84]","26.3 [25.54-27.2]","21.66 [21.02-22.43]","255 126 [247 989-263 673]","143 511 [139 455-148 522]","111 615 [108 356-115 652]"
"Europe"," 1997","25.38 [24.69-26.21]","27.75 [26.97-28.67]","22.89 [22.22-23.69]","274 075 [266 681-283 040]","154 044 [149 860-159 261]","120 031 [116 579-124 277]"
"Europe"," 1996","26.7 [25.99-27.56]","29.17 [28.39-30.12]","24.11 [23.43-24.93]","292 872 [285 138-302 157]","164 489 [160 199-169 853]","128 383 [124 828-132 733]"
"Europe"," 1995","27.9 [27.18-28.76]","30.47 [29.67-31.44]","25.2 [24.49-26.03]","311 009 [303 139-320 428]","174 548 [170 118-180 075]","136 461 [132 751-140 931]"
"Europe"," 1994","28.72 [28.-29.59]","31.35 [30.54-32.32]","25.96 [25.25-26.8]","328 590 [320 480-338 418]","184 280 [179 703-189 961]","144 310 [140 457-148 932]"
"Europe"," 1993","29.35 [28.62-30.23]","32.01 [31.19-32.99]","26.56 [25.84-27.4]","345 826 [337 435-355 960]","193 769 [189 017-199 641]","152 057 [148 080-156 813]"
"Europe"," 1992","29.78 [29.06-30.67]","32.5 [31.68-33.49]","26.93 [26.22-27.77]","363 623 [354 998-374 233]","203 893 [198 931-210 055]","159 730 [155 673-164 718]"
"Europe"," 1991","30.22 [29.48-31.1]","32.98 [32.15-33.96]","27.32 [26.6-28.17]","379 342 [370 216-390 196]","212 703 [207 525-219 009]","166 639 [162 352-171 754]"
"Europe"," 1990","30.78 [30.05-31.66]","33.58 [32.75-34.56]","27.84 [27.11-28.69]","395 765 [386 464-406 796]","221 807 [216 492-228 226]","173 958 [169 526-179 256]"
"Eastern Mediterranean"," 2021","45.22 [39.73-55.24]","48.28 [42.4-58.93]","41.98 [36.82-51.43]","830 604 [730 513-1 010 440]","454 700 [399 760-552 778]","375 904 [329 862-458 264]"
"Eastern Mediterranean"," 2020","46.22 [41.15-55.18]","49.33 [43.89-58.86]","42.95 [38.2-51.46]","848 261 [756 174-1 008 318]","464 065 [413 612-551 153]","384 196 [342 118-458 030]"
"Eastern Mediterranean"," 2019","47.4 [42.78-55.42]","50.54 [45.63-59.13]","44.11 [39.77-51.69]","870 077 [786 073-1 013 099]","475 431 [429 565-554 435]","394 646 [356 223-461 144]"
"Eastern Mediterranean"," 2018","48.38 [44.18-55.67]","51.51 [47.06-59.24]","45.08 [41.13-51.93]","892 476 [815 795-1 022 370]","487 096 [445 563-558 003]","405 380 [370 223-465 629]"
"Eastern Mediterranean"," 2017","49.4 [45.62-56.03]","52.58 [48.51-59.54]","46.11 [42.48-52.37]","912 977 [843 772-1 030 776]","497 880 [459 925-562 291]","415 097 [382 941-469 907]"
"Eastern Mediterranean"," 2016","50.99 [47.45-57.]","54.2 [50.37-60.56]","47.62 [44.22-53.34]","946 174 [881 504-1 053 653]","515 426 [479 586-574 043]","430 748 [400 411-480 652]"
"Eastern Mediterranean"," 2015","52.25 [48.97-57.74]","55.48 [51.89-61.24]","48.87 [45.7-54.05]","975 482 [915 097-1 074 222]","530 982 [497 249-584 321]","444 500 [416 086-490 181]"
"Eastern Mediterranean"," 2014","53.91 [50.82-58.82]","57.21 [53.85-62.42]","50.45 [47.44-55.18]","1 002 728 [946 053-1 090 998]","545 805 [514 064-593 932]","456 923 [430 070-498 378]"
"Eastern Mediterranean"," 2013","55.67 [52.69-60.14]","59.01 [55.79-63.78]","52.17 [49.27-56.58]","1 022 749 [968 640-1 103 457]","556 353 [526 435-600 411]","466 396 [440 873-504 758]"
"Eastern Mediterranean"," 2012","57.28 [54.39-61.51]","60.65 [57.52-65.11]","53.73 [50.91-57.86]","1 032 819 [981 534-1 107 449]","561 605 [532 883-601 939]","471 214 [446 828-506 476]"
"Eastern Mediterranean"," 2011","58.55 [55.76-62.53]","61.95 [58.96-66.16]","54.97 [52.27-58.81]","1 034 131 [985 820-1 102 368]","562 223 [535 474-599 473]","471 908 [449 045-504 073]"
"Eastern Mediterranean"," 2010","60.35 [57.7-64.1]","63.84 [60.94-67.86]","56.67 [54.1-60.32]","1 041 485 [996 343-1 104 301]","566 449 [541 210-600 863]","475 036 [453 777-504 756]"
"Eastern Mediterranean"," 2009","62.28 [59.77-65.76]","65.84 [63.1-69.58]","58.52 [56.04-61.89]","1 049 406 [1 007 915-1 106 190]","570 718 [547 352-602 190]","478 688 [458 748-505 470]"
"Eastern Mediterranean"," 2008","64.21 [61.84-67.45]","67.86 [65.27-71.3]","60.4 [58.02-63.6]","1 061 809 [1 023 424-1 113 992]","577 207 [555 873-605 964]","484 602 [465 980-509 671]"
"Eastern Mediterranean"," 2007","66.37 [64.11-69.37]","70.07 [67.59-73.27]","62.5 [60.24-65.5]","1 073 086 [1 037 291-1 120 008]","582 739 [562 709-608 890]","490 347 [473 134-513 215]"
"Eastern Mediterranean"," 2006","68.37 [66.17-71.23]","72.07 [69.65-75.18]","64.48 [62.28-67.33]","1 081 432 [1 047 380-1 125 137]","586 625 [567 451-611 455]","494 807 [478 330-516 235]"
"Eastern Mediterranean"," 2005","70.42 [68.24-73.18]","74.16 [71.77-77.14]","66.48 [64.3-69.26]","1 096 940 [1 063 626-1 138 489]","594 534 [575 798-617 876]","502 406 [486 256-522 804]"
"Eastern Mediterranean"," 2004","72.47 [70.27-75.17]","76.18 [73.81-79.13]","68.55 [66.37-71.31]","1 115 369 [1 082 348-1 155 522]","603 491 [585 026-626 222]","511 878 [495 909-531 840]"
"Eastern Mediterranean"," 2003","74.45 [72.23-77.13]","78.13 [75.72-81.05]","70.55 [68.34-73.27]","1 132 574 [1 099 415-1 171 994]","612 037 [593 577-634 254]","520 537 [504 449-540 085]"
"Eastern Mediterranean"," 2002","76.49 [74.29-79.18]","80.17 [77.77-83.09]","72.63 [70.42-75.36]","1 149 574 [1 117 147-1 188 570]","620 518 [602 497-642 516]","529 056 [513 307-548 331]"
"Eastern Mediterranean"," 2001","78.73 [76.53-81.43]","82.4 [80.02-85.32]","74.87 [72.67-77.56]","1 168 165 [1 136 400-1 206 817]","629 798 [612 241-651 681]","538 367 [522 898-557 180]"
"Eastern Mediterranean"," 2000","81.14 [78.95-83.85]","84.75 [82.36-87.67]","77.34 [75.13-80.04]","1 189 294 [1 158 120-1 227 521]","639 980 [622 188-661 398]","549 314 [534 036-568 052]"
"Eastern Mediterranean"," 1999","83.59 [81.39-86.3]","87.18 [84.71-90.06]","79.81 [77.62-82.58]","1 212 117 [1 180 906-1 250 092]","651 150 [633 266-672 196]","560 967 [545 926-579 921]"
"Eastern Mediterranean"," 1998","86.08 [83.86-88.74]","89.58 [87.13-92.49]","82.38 [80.18-85.12]","1 235 553 [1 204 505-1 272 569]","662 240 [644 475-683 118]","573 313 [558 241-591 872]"
"Eastern Mediterranean"," 1997","88.59 [86.37-91.24]","92.01 [89.55-94.92]","84.99 [82.75-87.72]","1 261 751 [1 230 667-1 298 228]","674 812 [657 223-695 690]","586 939 [571 820-605 219]"
"Eastern Mediterranean"," 1996","91. [88.78-93.67]","94.33 [91.9-97.24]","87.48 [85.24-90.25]","1 290 986 [1 260 157-1 327 609]","689 026 [671 631-709 830]","601 960 [586 767-620 638]"
"Eastern Mediterranean"," 1995","93.19 [90.95-95.88]","96.39 [93.96-99.3]","89.8 [87.47-92.58]","1 321 399 [1 290 175-1 358 753]","703 744 [686 320-724 491]","617 655 [601 947-636 468]"
"Eastern Mediterranean"," 1994","95.12 [92.9-97.82]","98.24 [95.82-101.14]","91.82 [89.48-94.65]","1 349 520 [1 318 261-1 387 242]","717 324 [699 874-738 235]","632 196 [616 353-651 482]"
"Eastern Mediterranean"," 1993","96.87 [94.66-99.52]","99.92 [97.52-102.81]","93.65 [91.34-96.46]","1 377 570 [1 346 448-1 415 360]","730 856 [713 487-751 901]","646 714 [630 865-666 014]"
"Eastern Mediterranean"," 1992","99.17 [96.95-101.86]","102.2 [99.74-105.09]","96.01 [93.66-98.83]","1 407 363 [1 376 089-1 445 121]","745 546 [727 977-766 690]","661 817 [645 873-681 239]"
"Eastern Mediterranean"," 1991","101.76 [99.51-104.4]","104.79 [102.31-107.72]","98.55 [96.2-101.36]","1 435 482 [1 404 284-1 472 258]","759 794 [742 057-780 643]","675 688 [659 726-694 721]"
"Eastern Mediterranean"," 1990","104.4 [102.11-107.02]","107.46 [104.91-110.35]","101.17 [98.76-103.94]","1 461 753 [1 430 180-1 497 863]","772 849 [754 749-793 220]","688 904 [672 719-707 483]"
"Western Pacific"," 2021","11.57 [10.41-13.29]","12.59 [11.32-14.43]","10.49 [9.41-12.08]","218 643 [197 652-249 693]","124 556 [112 672-142 463]","94 087 [84 880-108 067]"
"Western Pacific"," 2020","11.71 [10.7-13.1]","12.72 [11.61-14.23]","10.65 [9.69-11.97]","240 858 [220 821-268 409]","137 209 [125 893-153 326]","103 649 [94 877-116 291]"
"Western Pacific"," 2019","11.79 [10.92-12.94]","12.76 [11.81-14.03]","10.76 [9.93-11.85]","263 124 [244 077-288 388]","149 802 [139 219-164 596]","113 322 [104 976-124 878]"
"Western Pacific"," 2018","12.12 [11.35-13.12]","13.08 [12.23-14.18]","11.08 [10.33-12.04]","288 573 [270 596-311 953]","164 236 [154 025-178 217]","124 337 [116 204-135 145]"
"Western Pacific"," 2017","12.33 [11.65-13.19]","13.29 [12.53-14.27]","11.29 [10.62-12.14]","312 879 [295 623-334 651]","178 313 [168 443-191 688]","134 566 [126 803-144 942]"
"Western Pacific"," 2016","12.95 [12.3-13.75]","13.98 [13.24-14.88]","11.86 [11.2-12.65]","326 019 [309 572-346 139]","186 106 [176 695-198 575]","139 913 [132 505-149 618]"
"Western Pacific"," 2015","13.67 [13.03-14.44]","14.73 [14.01-15.6]","12.53 [11.88-13.3]","344 760 [328 543-364 000]","196 752 [187 553-208 774]","148 008 [140 625-157 344]"
"Western Pacific"," 2014","14.28 [13.66-15.01]","15.39 [14.68-16.22]","13.11 [12.46-13.84]","366 550 [350 555-385 127]","209 425 [200 269-221 329]","157 125 [149 723-166 332]"
"Western Pacific"," 2013","15.06 [14.43-15.76]","16.23 [15.5-17.05]","13.83 [13.16-14.55]","387 694 [371 408-405 632]","221 722 [212 360-233 640]","165 972 [158 325-175 152]"
"Western Pacific"," 2012","15.83 [15.17-16.54]","17.04 [16.28-17.87]","14.53 [13.83-15.26]","405 265 [388 558-423 427]","231 976 [222 247-243 865]","173 289 [165 405-182 462]"
"Western Pacific"," 2011","16.82 [16.15-17.55]","18.11 [17.33-18.98]","15.44 [14.74-16.2]","419 882 [403 205-438 034]","240 461 [230 694-252 563]","179 421 [171 737-188 712]"
"Western Pacific"," 2010","17.82 [17.1-18.6]","19.18 [18.33-20.09]","16.37 [15.62-17.18]","445 447 [427 573-464 886]","255 143 [244 565-267 951]","190 304 [182 131-200 265]"
"Western Pacific"," 2009","18.9 [18.13-19.73]","20.34 [19.42-21.3]","17.37 [16.57-18.22]","469 723 [450 706-490 212]","269 117 [257 752-282 659]","200 606 [191 991-211 034]"
"Western Pacific"," 2008","20.09 [19.23-20.97]","21.6 [20.61-22.65]","18.47 [17.6-19.37]","491 078 [470 269-512 517]","281 286 [269 083-295 549]","209 792 [200 497-220 583]"
"Western Pacific"," 2007","21.44 [20.5-22.38]","23.04 [21.96-24.15]","19.73 [18.79-20.71]","514 156 [491 733-536 551]","294 252 [281 275-309 108]","219 904 [209 927-231 386]"
"Western Pacific"," 2006","22.97 [21.95-23.96]","24.66 [23.5-25.84]","21.15 [20.14-22.21]","542 671 [518 746-566 064]","310 335 [296 515-325 888]","232 336 [221 738-244 497]"
"Western Pacific"," 2005","24.65 [23.57-25.74]","26.45 [25.22-27.72]","22.73 [21.66-23.85]","577 662 [552 250-603 172]","329 965 [315 383-346 610]","247 697 [236 621-260 551]"
"Western Pacific"," 2004","26.5 [25.38-27.66]","28.41 [27.13-29.78]","24.46 [23.33-25.68]","617 487 [591 502-644 574]","352 227 [337 250-370 156]","265 260 [253 714-279 171]"
"Western Pacific"," 2003","28.5 [27.32-29.79]","30.48 [29.13-31.98]","26.38 [25.16-27.74]","663 575 [636 131-693 371]","377 499 [361 617-396 828]","286 076 [273 507-301 510]"
"Western Pacific"," 2002","30.6 [29.34-32.01]","32.7 [31.21-34.33]","28.37 [27.06-29.84]","717 873 [688 453-750 952]","407 652 [390 187-429 162]","310 221 [296 663-327 132]"
"Western Pacific"," 2001","32.7 [31.37-34.23]","34.91 [33.34-36.68]","30.35 [28.96-31.96]","784 719 [752 672-821 340]","445 016 [425 895-468 759]","339 703 [324 877-358 620]"
"Western Pacific"," 2000","34.85 [33.42-36.49]","37.11 [35.41-39.02]","32.44 [30.92-34.18]","843 085 [808 533-882 715]","476 770 [456 073-502 271]","366 315 [349 899-386 588]"
"Western Pacific"," 1999","36.86 [35.34-38.57]","39.23 [37.43-41.26]","34.32 [32.71-36.14]","890 591 [853 972-931 834]","502 814 [480 836-529 764]","387 777 [370 425-409 176]"
"Western Pacific"," 1998","38.77 [37.13-40.55]","41.2 [39.25-43.29]","36.18 [34.44-38.09]","957 283 [916 878-1 001 360]","538 969 [514 500-567 362]","418 314 [399 138-441 326]"
"Western Pacific"," 1997","40.66 [38.9-42.55]","43.17 [41.1-45.38]","37.96 [36.08-40.01]","1 031 187 [986 395-1 079 129]","579 550 [552 450-609 982]","451 637 [429 984-476 528]"
"Western Pacific"," 1996","42.51 [40.66-44.47]","45.05 [42.84-47.41]","39.77 [37.78-41.9]","1 111 990 [1 063 555-1 163 372]","623 175 [593 610-656 703]","488 815 [464 941-515 570]"
"Western Pacific"," 1995","44.31 [42.4-46.38]","46.96 [44.63-49.44]","41.52 [39.43-43.75]","1 199 745 [1 148 130-1 255 987]","670 791 [638 705-707 432]","528 954 [503 365-558 533]"
"Western Pacific"," 1994","46.04 [44.02-48.2]","48.7 [46.29-51.26]","43.2 [40.97-45.62]","1 292 889 [1 235 868-1 353 871]","720 244 [685 491-759 328]","572 645 [543 642-605 451]"
"Western Pacific"," 1993","47.73 [45.52-50.15]","50.47 [47.91-53.25]","44.83 [42.44-47.39]","1 388 512 [1 323 935-1 459 127]","771 440 [733 265-815 503]","617 072 [584 716-653 449]"
"Western Pacific"," 1992","49.18 [46.72-51.95]","51.92 [49.08-55.1]","46.3 [43.65-49.23]","1 496 446 [1 420 626-1 581 099]","828 197 [783 871-880 857]","668 249 [630 713-711 419]"
"Western Pacific"," 1991","50.48 [47.67-53.69]","53.19 [49.99-56.84]","47.59 [44.65-50.93]","1 682 214 [1 587 562-1 789 919]","928 733 [873 358-994 057]","753 481 [707 233-807 439]"
"Western Pacific"," 1990","51.77 [48.53-55.48]","54.46 [50.8-58.61]","48.91 [45.58-52.74]","1 798 965 [1 687 287-1 926 609]","991 318 [926 027-1 067 479]","807 647 [753 586-871 509]"
