"","","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)"
"South-East Asia"," 2008","45.11 [43.73-46.67]","45.49 [44.08-47.08]","44.69 [43.22-46.31]","1 724 688 [1 672 270-1 783 787]","903 820 [875 903-934 953]","820 868 [794 144-850 308]"
"South-East Asia"," 2007","46.74 [45.35-48.32]","47.15 [45.69-48.75]","46.3 [44.82-47.94]","1 797 729 [1 744 418-1 857 619]","942 053 [913 116-973 598]","855 676 [828 454-885 635]"
"South-East Asia"," 2006","48.74 [47.32-50.3]","49.25 [47.78-50.87]","48.17 [46.66-49.81]","1 889 490 [1 834 680-1 949 325]","992 232 [962 565-1 024 195]","897 258 [869 078-927 288]"
"South-East Asia"," 2005","50.76 [49.31-52.33]","51.16 [49.65-52.75]","50.29 [48.78-51.98]","1 991 443 [1 935 044-2 052 491]","1 043 311 [1 012 473-1 075 178]","948 132 [919 442-979 248]"
"South-East Asia"," 2004","53.13 [51.69-54.72]","53.79 [52.25-55.44]","52.41 [50.88-54.08]","2 104 530 [2 047 852-2 166 809]","1 107 354 [1 075 887-1 140 961]","997 176 [968 330-1 028 489]"
"South-East Asia"," 2003","54.92 [53.44-56.51]","55.19 [53.65-56.85]","54.58 [53.04-56.25]","2 192 288 [2 134 162-2 255 245]","1 144 836 [1 112 767-1 178 562]","1 047 452 [1 017 739-1 078 679]"
"South-East Asia"," 2002","57.07 [55.59-58.68]","57.55 [55.96-59.29]","56.52 [54.91-58.25]","2 293 385 [2 234 647-2 357 583]","1 201 595 [1 168 417-1 237 272]","1 091 790 [1 060 835-1 124 694]"
"South-East Asia"," 2001","59.28 [57.77-60.91]","60.08 [58.45-61.83]","58.41 [56.77-60.17]","2 381 279 [2 321 368-2 446 244]","1 254 250 [1 220 658-1 290 415]","1 127 029 [1 095 668-1 160 562]"
"South-East Asia"," 2000","61.51 [59.98-63.16]","62.61 [61-64.33]","60.31 [58.73-62.06]","2 455 846 [2 395 328-2 520 813]","1 299 193 [1 266 112-1 334 252]","1 156 653 [1 126 489-1 189 679]"
"South-East Asia"," 1999","63.75 [62.21-65.45]","65.25 [63.64-67.05]","62.11 [60.53-63.87]","2 540 741 [2 480 182-2 607 838]","1 351 406 [1 318 249-1 388 184]","1 189 335 [1 159 283-1 222 486]"
"South-East Asia"," 1998","65.97 [64.41-67.7]","67.27 [65.6-69.1]","64.56 [62.93-66.36]","2 635 919 [2 574 378-2 704 512]","1 396 045 [1 361 802-1 433 463]","1 239 874 [1 208 987-1 273 839]"
"South-East Asia"," 1997","68.19 [66.59-69.96]","69.75 [68.01-71.62]","66.5 [64.83-68.37]","2 724 501 [2 661 012-2 794 371]","1 446 360 [1 410 592-1 484 551]","1 278 141 [1 246 400-1 313 450]"
"South-East Asia"," 1996","70.44 [68.78-72.22]","72.33 [70.48-74.28]","68.41 [66.64-70.36]","2 810 411 [2 744 857-2 880 439]","1 496 965 [1 459 132-1 536 776]","1 313 446 [1 279 850-1 350 396]"
"South-East Asia"," 1995","72.69 [71.01-74.5]","74.79 [72.86-76.79]","70.45 [68.62-72.45]","2 895 467 [2 829 255-2 966 547]","1 544 066 [1 505 032-1 584 907]","1 351 401 [1 316 846-1 389 393]"
"South-East Asia"," 1994","74.91 [73.17-76.73]","77.3 [75.3-79.36]","72.35 [70.47-74.35]","2 972 233 [2 904 390-3 043 479]","1 587 698 [1 547 316-1 629 552]","1 384 535 [1 349 069-1 422 454]"
"South-East Asia"," 1993","77.06 [75.28-78.89]","79.81 [77.76-81.92]","74.13 [72.17-76.18]","3 049 609 [2 980 175-3 120 694]","1 632 934 [1 591 617-1 675 605]","1 416 675 [1 379 879-1 455 542]"
"South-East Asia"," 1992","79.27 [77.45-81.15]","82.35 [80.25-84.52]","76 [74.03-78.12]","3 135 366 [3 064 187-3 208 580]","1 682 401 [1 640 312-1 726 201]","1 452 965 [1 415 979-1 492 929]"
"South-East Asia"," 1991","81.53 [79.65-83.46]","84.9 [82.7-87.09]","77.99 [75.91-80.19]","3 214 517 [3 141 857-3 289 361]","1 726 955 [1 683 495-1 771 278]","1 487 562 [1 448 998-1 529 349]"
"South-East Asia"," 1990","83.96 [82.04-85.95]","87.49 [85.24-89.76]","80.24 [78.12-82.49]","3 302 835 [3 228 292-3 379 909]","1 774 145 [1 729 653-1 819 826]","1 528 690 [1 489 227-1 571 137]"
"Europe"," 2021","6.48 [6.11-7.08]","7.17 [6.75-7.85]","5.75 [5.43-6.29]","67 080 [63 333-73 230]","38 165 [36 002-41 800]","28 915 [27 300-31 595]"
"Europe"," 2020","6.73 [6.38-7.26]","7.45 [7.05-8.05]","5.97 [5.66-6.45]","70 498 [66 811-76 062]","40 114 [37 995-43 360]","30 384 [28 799-32 785]"
"Europe"," 2019","6.94 [6.61-7.42]","7.69 [7.3-8.23]","6.16 [5.87-6.59]","74 298 [70 754-79 306]","42 284 [40 212-45 247]","32 014 [30 503-34 205]"
"Europe"," 2018","7.16 [6.85-7.57]","7.92 [7.56-8.38]","6.37 [6.09-6.73]","78 432 [75 095-82 909]","44 576 [42 646-47 196]","33 856 [32 437-35 811]"
"Europe"," 2017","7.38 [7.1-7.73]","8.16 [7.84-8.56]","6.56 [6.31-6.88]","83 529 [80 398-87 429]","47 480 [45 670-49 815]","36 049 [34 689-37 796]"
"Europe"," 2016","7.7 [7.44-8.]","8.51 [8.21-8.86]","6.84 [6.61-7.12]","89 090 [86 067-92 588]","50 661 [48 913-52 768]","38 429 [37 128-40 021]"
"Europe"," 2015","8.09 [7.84-8.37]","8.96 [8.67-9.28]","7.18 [6.95-7.44]","93 625 [90 723-96 813]","53 324 [51 627-55 279]","40 301 [39 045-41 781]"
"Europe"," 2014","8.46 [8.21-8.73]","9.37 [9.08-9.68]","7.51 [7.28-7.76]","97 361 [94 470-100 387]","55 460 [53 755-57 312]","41 901 [40 637-43 305]"
"Europe"," 2013","8.84 [8.56-9.11]","9.78 [9.47-10.11]","7.84 [7.59-8.1]","100 964 [97 893-104 073]","57 491 [55 692-59 413]","43 473 [42 132-44 906]"
"Europe"," 2012","9.15 [8.86-9.45]","10.12 [9.78-10.47]","8.13 [7.87-8.41]","104 726 [101 415-108 126]","59 587 [57 614-61 639]","45 139 [43 714-46 703]"
"Europe"," 2011","9.55 [9.23-9.88]","10.58 [10.2-10.97]","8.47 [8.18-8.78]","108 911 [105 216-112 643]","62 013 [59 822-64 332]","46 898 [45 303-48 589]"
"Europe"," 2010","9.96 [9.6-10.32]","11.03 [10.62-11.47]","8.83 [8.51-9.17]","113 978 [109 863-118 162]","64 921 [62 522-67 486]","49 057 [47 321-50 966]"
"Europe"," 2009","10.48 [10.09-10.89]","11.62 [11.17-12.1]","9.29 [8.93-9.67]","118 785 [114 325-123 426]","67 682 [65 114-70 487]","51 103 [49 200-53 222]"
"Europe"," 2008","10.98 [10.57-11.43]","12.18 [11.7-12.7]","9.73 [9.37-10.15]","122 322 [117 745-127 291]","69 684 [66 992-72 690]","52 638 [50 689-54 913]"
"Europe"," 2007","11.62 [11.18-12.11]","12.88 [12.39-13.46]","10.3 [9.91-10.75]","125 518 [120 828-130 703]","71 506 [68 814-74 665]","54 012 [52 012-56 360]"
"Europe"," 2006","12.27 [11.82-12.78]","13.59 [13.09-14.18]","10.88 [10.48-11.34]","129 692 [125 030-135 028]","73 870 [71 172-77 040]","55 822 [53 813-58 210]"
"Europe"," 2005","12.99 [12.54-13.52]","14.4 [13.88-15.]","11.5 [11.09-11.99]","135 311 [130 692-140 798]","77 124 [74 422-80 365]","58 187 [56 150-60 628]"
"Europe"," 2004","13.72 [13.27-14.25]","15.2 [14.68-15.81]","12.16 [11.75-12.66]","141 619 [137 015-147 060]","80 685 [78 003-83 937]","60 934 [58 906-63 416]"
"Europe"," 2003","14.54 [14.09-15.07]","16.1 [15.58-16.72]","12.9 [12.49-13.4]","148 837 [144 242-154 302]","84 734 [82 027-88 024]","64 103 [62 093-66 604]"
"Europe"," 2002","15.53 [15.07-16.09]","17.2 [16.68-17.83]","13.79 [13.35-14.3]","158 611 [153 932-164 208]","90 271 [87 595-93 616]","68 340 [66 234-70 934]"
"Europe"," 2001","16.57 [16.11-17.13]","18.35 [17.81-18.98]","14.71 [14.27-15.23]","168 873 [164 212-174 460]","96 159 [93 448-99 509]","72 714 [70 587-75 313]"
"Europe"," 2000","17.43 [16.97-17.98]","19.28 [18.75-19.91]","15.49 [15.05-16.02]","179 252 [174 489-184 844]","101 978 [99 256-105 326]","77 274 [75 109-79 928]"
"Europe"," 1999","18.58 [18.1-19.13]","20.52 [19.97-21.16]","16.53 [16.07-17.08]","192 381 [187 469-198 110]","109 322 [106 461-112 768]","83 059 [80 768-85 826]"
"Europe"," 1998","19.68 [19.19-20.26]","21.74 [21.16-22.41]","17.52 [17.03-18.1]","206 899 [201 761-212 965]","117 530 [114 490-121 219]","89 369 [86 944-92 322]"
"Europe"," 1997","20.69 [20.19-21.29]","22.85 [22.27-23.55]","18.42 [17.92-19.01]","221 500 [216 162-227 845]","125 797 [122 677-129 657]","95 703 [93 158-98 760]"
"Europe"," 1996","21.71 [21.19-22.32]","23.97 [23.37-24.68]","19.33 [18.82-19.93]","235 881 [230 342-242 459]","133 959 [130 730-137 930]","101 922 [99 323-105 097]"
"Europe"," 1995","22.67 [22.15-23.28]","25.04 [24.44-25.77]","20.18 [19.66-20.78]","249 568 [243 958-256 212]","141 680 [138 404-145 786]","107 888 [105 204-111 115]"
"Europe"," 1994","23.28 [22.76-23.89]","25.71 [25.09-26.44]","20.73 [20.2-21.33]","262 500 [256 748-269 368]","148 982 [145 559-153 216]","113 518 [110 728-116 854]"
"Europe"," 1993","23.73 [23.21-24.35]","26.2 [25.58-26.93]","21.15 [20.62-21.76]","275 452 [269 508-282 462]","156 230 [152 733-160 579]","119 222 [116 340-122 633]"
"Europe"," 1992","24.01 [23.5-24.63]","26.53 [25.92-27.27]","21.38 [20.86-21.99]","289 769 [283 655-297 126]","164 490 [160 833-169 053]","125 279 [122 366-128 870]"
"Europe"," 1991","24.39 [23.86-25.]","26.94 [26.32-27.68]","21.7 [21.17-22.31]","303 018 [296 682-310 444]","172 051 [168 220-176 692]","130 967 [127 908-134 609]"
"Europe"," 1990","24.73 [24.22-25.35]","27.34 [26.73-28.07]","21.99 [21.48-22.6]","316 148 [309 718-323 811]","179 521 [175 643-184 238]","136 627 [133 521-140 366]"
"Eastern Mediterranean"," 2021","35.92 [31.97-42.29]","39.04 [34.71-45.97]","32.64 [29.06-38.53]","661 735 [589 218-776 733]","368 544 [327 937-433 002]","293 191 [261 132-345 367]"
"Eastern Mediterranean"," 2020","36.66 [33.13-42.32]","39.82 [35.88-45.93]","33.32 [30.09-38.54]","674 996 [610 353-777 084]","375 799 [338 727-432 303]","299 197 [270 369-345 151]"
"Eastern Mediterranean"," 2019","37.53 [34.34-42.55]","40.75 [37.2-46.25]","34.16 [31.21-38.82]","689 671 [631 458-779 726]","383 655 [350 696-434 347]","306 016 [279 969-346 970]"
"Eastern Mediterranean"," 2018","38.18 [35.32-42.65]","41.43 [38.26-46.35]","34.78 [32.14-38.95]","705 315 [652 803-786 101]","392 175 [362 461-437 573]","313 140 [289 596-350 119]"
"Eastern Mediterranean"," 2017","38.91 [36.34-42.98]","42.22 [39.33-46.66]","35.47 [33.03-39.26]","720 280 [673 178-794 028]","400 339 [373 444-441 892]","319 941 [298 281-353 624]"
"Eastern Mediterranean"," 2016","39.98 [37.59-43.69]","43.34 [40.64-47.44]","36.45 [34.2-39.95]","741 720 [697 858-808 230]","412 024 [386 733-449 876]","329 696 [309 568-360 702]"
"Eastern Mediterranean"," 2015","40.78 [38.58-44.14]","44.2 [41.68-47.86]","37.19 [35.09-40.36]","763 474 [722 753-824 966]","424 100 [400 251-458 297]","339 374 [320 362-367 790]"
"Eastern Mediterranean"," 2014","41.88 [39.83-44.89]","45.38 [43.05-48.69]","38.21 [36.21-41.14]","783 698 [745 691-838 528]","435 269 [413 070-466 184]","348 429 [330 417-374 492]"
"Eastern Mediterranean"," 2013","43.14 [41.17-45.91]","46.7 [44.46-49.74]","39.39 [37.47-42.09]","799 088 [762 992-849 632]","443 554 [422 516-471 922]","355 534 [338 403-379 481]"
"Eastern Mediterranean"," 2012","44.34 [42.47-46.91]","47.98 [45.84-50.85]","40.51 [38.68-43.03]","807 277 [773 464-853 489]","448 069 [428 305-474 495]","359 208 [343 071-381 234]"
"Eastern Mediterranean"," 2011","45.39 [43.58-47.82]","49.1 [47.06-51.8]","41.5 [39.74-43.88]","810 671 [778 653-853 285]","449 915 [431 532-474 424]","360 756 [345 653-381 218]"
"Eastern Mediterranean"," 2010","46.67 [44.97-48.95]","50.49 [48.53-53.05]","42.67 [40.97-44.9]","814 693 [785 262-853 867]","452 439 [435 192-475 010]","362 254 [348 085-381 001]"
"Eastern Mediterranean"," 2009","48.04 [46.42-50.17]","51.96 [50.1-54.38]","43.91 [42.27-46.01]","817 772 [790 489-853 171]","454 478 [438 431-475 223]","363 294 [349 900-380 464]"
"Eastern Mediterranean"," 2008","49.34 [47.83-51.35]","53.36 [51.58-55.64]","45.13 [43.58-47.1]","825 079 [800 238-857 886]","458 475 [443 667-477 913]","366 604 [354 349-382 542]"
"Eastern Mediterranean"," 2007","50.87 [49.43-52.74]","54.97 [53.3-57.14]","46.57 [45.09-48.44]","830 984 [807 809-860 941]","461 385 [447 665-479 462]","369 599 [358 108-384 236]"
"Eastern Mediterranean"," 2006","52.3 [50.9-54.08]","56.45 [54.8-58.52]","47.95 [46.5-49.77]","833 901 [811 805-861 637]","462 748 [449 567-479 623]","371 153 [360 212-385 155]"
"Eastern Mediterranean"," 2005","53.75 [52.35-55.47]","57.97 [56.34-60.]","49.31 [47.88-51.06]","843 951 [822 280-870 452]","468 006 [455 190-484 231]","375 945 [365 232-389 178]"
"Eastern Mediterranean"," 2004","55.22 [53.82-56.9]","59.47 [57.83-61.44]","50.75 [49.29-52.51]","857 020 [835 552-882 533]","474 538 [461 816-489 990]","382 482 [371 731-395 580]"
"Eastern Mediterranean"," 2003","56.66 [55.23-58.31]","60.93 [59.28-62.88]","52.16 [50.67-53.9]","868 597 [846 985-893 515]","480 446 [467 710-495 595]","388 151 [377 345-401 021]"
"Eastern Mediterranean"," 2002","58.08 [56.64-59.75]","62.4 [60.77-64.36]","53.53 [52.04-55.27]","879 492 [858 169-904 223]","486 238 [473 816-501 268]","393 254 [382 627-405 950]"
"Eastern Mediterranean"," 2001","59.56 [58.15-61.24]","63.93 [62.27-65.9]","54.97 [53.52-56.7]","891 254 [870 446-915 879]","492 313 [479 865-507 236]","398 941 [388 677-411 420]"
"Eastern Mediterranean"," 2000","61.25 [59.84-62.93]","65.65 [63.96-67.57]","56.64 [55.17-58.4]","904 725 [884 329-929 000]","499 054 [486 670-513 647]","405 671 [395 432-418 225]"
"Eastern Mediterranean"," 1999","62.97 [61.54-64.64]","67.41 [65.7-69.37]","58.32 [56.84-60.08]","919 186 [898 672-943 039]","506 343 [493 971-520 938]","412 843 [402 680-425 307]"
"Eastern Mediterranean"," 1998","64.69 [63.25-66.37]","69.13 [67.4-71.09]","60.04 [58.53-61.83]","933 986 [913 501-957 688]","513 501 [501 054-527 957]","420 485 [410 231-432 930]"
"Eastern Mediterranean"," 1997","66.46 [64.98-68.14]","70.87 [69.13-72.83]","61.83 [60.31-63.61]","951 536 [930 724-974 988]","522 127 [509 684-536 432]","429 409 [419 153-441 643]"
"Eastern Mediterranean"," 1996","68.16 [66.7-69.86]","72.54 [70.82-74.53]","63.56 [62.03-65.39]","971 808 [951 330-995 468]","532 205 [519 946-546 568]","439 603 [429 340-452 064]"
"Eastern Mediterranean"," 1995","69.7 [68.23-71.4]","74.03 [72.32-76.03]","65.14 [63.54-66.99]","993 002 [972 521-1 016 843]","542 844 [530 620-557 314]","450 158 [439 438-462 808]"
"Eastern Mediterranean"," 1994","71.13 [69.67-72.85]","75.45 [73.72-77.46]","66.57 [64.98-68.46]","1 011 410 [990 848-1 035 247]","552 067 [539 722-566 455]","459 343 [448 663-472 170]"
"Eastern Mediterranean"," 1993","72.24 [70.8-73.94]","76.58 [74.85-78.57]","67.68 [66.09-69.57]","1 029 387 [1 009 120-1 053 186]","560 983 [548 563-575 463]","468 404 [457 609-481 373]"
"Eastern Mediterranean"," 1992","73.67 [72.2-75.4]","78.06 [76.31-80.09]","69.06 [67.45-70.94]","1 049 392 [1 028 869-1 073 686]","571 391 [558 922-586 107]","478 001 [467 164-490 977]"
"Eastern Mediterranean"," 1991","75.34 [73.85-77.04]","79.82 [78.01-81.86]","70.63 [69.-72.52]","1 068 156 [1 047 448-1 091 883]","581 459 [568 729-596 112]","486 697 [475 780-499 584]"
"Eastern Mediterranean"," 1990","77.06 [75.54-78.77]","81.65 [79.81-83.67]","72.23 [70.58-74.13]","1 085 643 [1 064 587-1 109 300]","590 681 [577 732-605 201]","494 962 [483 878-507 822]"
"Western Pacific"," 2021","9.02 [8.09-10.25]","9.8 [8.77-11.15]","8.2 [7.33-9.35]","163 078 [146 622-184 839]","92 702 [83 287-105 354]","70 376 [63 204-80 304]"
"Western Pacific"," 2020","9.15 [8.34-10.17]","9.92 [9.03-11.04]","8.32 [7.56-9.29]","180 868 [165 295-200 280]","102 868 [94 006-114 336]","78 000 [71 212-86 936]"
"Western Pacific"," 2019","9.15 [8.48-9.98]","9.89 [9.15-10.82]","8.36 [7.71-9.15]","199 186 [184 657-216 916]","113 206 [104 881-123 833]","85 980 [79 477-94 196]"
"Western Pacific"," 2018","9.45 [8.85-10.18]","10.2 [9.51-11.02]","8.65 [8.05-9.36]","221 190 [207 497-237 580]","125 673 [117 591-135 679]","95 517 [89 167-103 329]"
"Western Pacific"," 2017","9.57 [9.05-10.18]","10.32 [9.72-11.02]","8.77 [8.24-9.39]","242 717 [229 536-258 132]","138 178 [130 412-147 778]","104 539 [98 452-112 079]"
"Western Pacific"," 2016","10.07 [9.58-10.64]","10.86 [10.28-11.54]","9.22 [8.71-9.81]","252 735 [240 253-267 020]","144 175 [136 688-153 347]","108 560 [102 721-115 694]"
"Western Pacific"," 2015","10.7 [10.21-11.25]","11.53 [10.95-12.19]","9.8 [9.28-10.39]","268 751 [256 417-282 572]","153 360 [145 887-162 394]","115 391 [109 478-122 509]"
"Western Pacific"," 2014","11.19 [10.71-11.71]","12.05 [11.48-12.7]","10.25 [9.73-10.83]","287 892 [275 653-301 450]","164 525 [157 009-173 623]","123 367 [117 290-130 505]"
"Western Pacific"," 2013","11.86 [11.38-12.38]","12.79 [12.2-13.43]","10.87 [10.32-11.45]","306 401 [293 909-319 811]","175 312 [167 641-184 654]","131 089 [124 726-138 465]"
"Western Pacific"," 2012","12.46 [11.96-12.99]","13.43 [12.82-14.09]","11.43 [10.85-12.02]","321 174 [308 222-334 629]","183 967 [176 074-193 475]","137 207 [130 656-144 694]"
"Western Pacific"," 2011","13.3 [12.78-13.85]","14.34 [13.7-15.03]","12.18 [11.6-12.81]","332 657 [319 616-346 365]","190 735 [182 665-200 463]","141 922 [135 446-149 520]"
"Western Pacific"," 2010","14.13 [13.58-14.73]","15.23 [14.54-15.97]","12.96 [12.34-13.63]","355 475 [341 474-370 520]","203 866 [195 082-214 333]","151 609 [144 806-159 806]"
"Western Pacific"," 2009","15.03 [14.43-15.67]","16.2 [15.44-17]","13.77 [13.12-14.49]","376 739 [361 599-392 779]","216 257 [206 645-227 439]","160 482 [153 262-169 272]"
"Western Pacific"," 2008","16.01 [15.33-16.7]","17.26 [16.43-18.11]","14.67 [13.95-15.44]","394 521 [377 871-411 432]","226 448 [216 207-238 242]","168 073 [160 247-177 238]"
"Western Pacific"," 2007","17.12 [16.38-17.86]","18.44 [17.55-19.35]","15.71 [14.93-16.52]","413 114 [395 182-430 868]","236 978 [226 088-249 268]","176 136 [167 875-185 734]"
"Western Pacific"," 2006","18.38 [17.57-19.17]","19.79 [18.83-20.76]","16.87 [16.01-17.75]","435 999 [416 796-454 552]","250 025 [238 562-262 945]","185 974 [177 022-196 166]"
"Western Pacific"," 2005","19.77 [18.91-20.63]","21.28 [20.25-22.34]","18.17 [17.25-19.12]","463 778 [443 618-483 869]","265 676 [253 615-279 673]","198 102 [188 675-209 030]"
"Western Pacific"," 2004","21.28 [20.39-22.21]","22.87 [21.79-24.03]","19.57 [18.6-20.61]","494 946 [474 313-516 545]","283 161 [270 453-298 086]","211 785 [201 850-223 452]"
"Western Pacific"," 2003","22.92 [21.96-23.94]","24.61 [23.45-25.89]","21.1 [20.06-22.24]","531 420 [509 415-555 122]","303 609 [290 047-320 051]","227 811 [217 107-240 719]"
"Western Pacific"," 2002","24.61 [23.59-25.75]","26.4 [25.14-27.78]","22.7 [21.57-23.94]","574 665 [550 997-601 126]","327 732 [312 948-345 730]","246 933 [235 269-261 074]"
"Western Pacific"," 2001","26.32 [25.24-27.55]","28.22 [26.85-29.73]","24.3 [23.1-25.65]","629 602 [603 603-658 952]","358 620 [342 088-378 738]","270 982 [258 266-286 735]"
"Western Pacific"," 2000","28 [26.84-29.34]","29.98 [28.52-31.61]","25.9 [24.58-27.37]","674 063 [646 309-705 877]","383 383 [365 798-404 968]","290 680 [276 664-307 761]"
"Western Pacific"," 1999","29.58 [28.36-30.95]","31.66 [30.11-33.38]","27.36 [25.97-28.92]","705 746 [676 660-738 419]","400 880 [382 185-423 437]","304 866 [290 066-322 945]"
"Western Pacific"," 1998","31.05 [29.72-32.48]","33.22 [31.54-35.02]","28.74 [27.24-30.4]","755 524 [723 237-790 216]","428 506 [407 793-452 659]","327 018 [310 749-346 622]"
"Western Pacific"," 1997","32.51 [31.09-34.02]","34.75 [32.97-36.63]","30.1 [28.48-31.87]","811 521 [776 081-849 118]","459 521 [436 875-485 077]","352 000 [333 765-373 328]"
"Western Pacific"," 1996","33.91 [32.41-35.49]","36.2 [34.33-38.19]","31.44 [29.73-33.29]","872 617 [834 071-913 170]","493 103 [468 435-520 943]","379 514 [359 594-402 391]"
"Western Pacific"," 1995","35.26 [33.7-36.93]","37.65 [35.68-39.75]","32.74 [30.96-34.67]","933 514 [892 628-977 469]","526 525 [500 363-556 998]","406 989 [385 748-431 786]"
"Western Pacific"," 1994","36.52 [34.89-38.25]","38.94 [36.9-41.1]","33.93 [32.04-35.98]","994 597 [950 405-1 041 639]","559 610 [531 293-591 508]","434 987 [411 448-461 894]"
"Western Pacific"," 1993","37.76 [35.99-39.68]","40.24 [38.08-42.62]","35.12 [33.09-37.31]","1 060 595 [1 010 985-1 114 315]","595 238 [564 311-631 350]","465 357 [439 214-495 107]"
"Western Pacific"," 1992","38.74 [36.77-40.95]","41.27 [38.88-43.93]","36.07 [33.85-38.51]","1 140 508 [1 082 356-1 205 359]","638 371 [602 435-680 743]","502 137 [471 965-536 971]"
"Western Pacific"," 1991","39.62 [37.4-42.15]","42.15 [39.53-45.17]","36.92 [34.49-39.63]","1 307 646 [1 233 335-1 392 072]","729 454 [684 115-783 502]","578 192 [540 197-621 962]"
"Western Pacific"," 1990","40.51 [37.95-43.46]","43.02 [40-46.45]","37.86 [35.14-41.01]","1 417 798 [1 328 789-1 519 663]","789 043 [734 907-852 307]","628 755 [584 671-681 721]"
